state,municipality,alf1930
PUEBLA,ACAJETE,1586
PUEBLA,ACATENO,478
PUEBLA,ACATLAN,2312
PUEBLA,ACATZINGO,1722
PUEBLA,ACTEOPAN,337
PUEBLA,AHUACATLAN,329
PUEBLA,AHUATLAN,143
PUEBLA,AHUAZOTEPEC,483
PUEBLA,AHUEHUETITLA,301
PUEBLA,AJALPAN,787
PUEBLA,ALBINO ZERTUCHE,178
PUEBLA,ALJOJUCA,1130
PUEBLA,ALTEPEXI,294
PUEBLA,AMIXTLAN,539
PUEBLA,AMOZOC,1168
PUEBLA,AQUIXTLA,1099
PUEBLA,ATEMPAN,555
PUEBLA,ATEXCAL,696
PUEBLA,ATLIXCO,7527
PUEBLA,ATOYATEMPAN,261
PUEBLA,ATZALA,85
PUEBLA,ATZITZIHUACAN,721
PUEBLA,ATZITZINTLA,474
PUEBLA,AXUTLA,260
PUEBLA,AYOTOXCO DE GUERRERO,238
PUEBLA,CALPAN,580
PUEBLA,CALTEPEC,1156
PUEBLA,CAMOCUAUTLA,223
PUEBLA,CAXHUACAN,
PUEBLA,COATEPEC,
PUEBLA,COATZINGO,484
PUEBLA,COHETZALA,184
PUEBLA,COHUECAN,255
PUEBLA,CORONANGO,1150
PUEBLA,COXCATLAN,1168
PUEBLA,COYOMEAPAN,235
PUEBLA,COYOTEPEC,686
PUEBLA,CUPIAXTLA DE MADERO,
PUEBLA,CUAUTEMPAN,575
PUEBLA,CUAUTINCHAN,340
PUEBLA,CUAUTLANCINGO,1217
PUEBLA,CUAYUCA,572
PUEBLA,CUETZALAN DEL PROGRESO,1643
PUEBLA,CUYOACO,771
PUEBLA,CHALCHICOMULA,2713
PUEBLA,CHAPULCO,384
PUEBLA,CHIAUTLA,1160
PUEBLA,CHIAUTZINGO,982
PUEBLA,CHICONCUAUTLA,897
PUEBLA,CHICHIQUILA,84
PUEBLA,CHIETLA,2272
PUEBLA,CHIGMECATITLAN,198
PUEBLA,CHIGNAHUAPAN,2110
PUEBLA,CHIGNAUTLA,588
PUEBLA,CHILA,616
PUEBLA,CHILA DE LA SAL,150
PUEBLA,CHILA HONEY,292
PUEBLA,CHILCHOTLA,123
PUEBLA,CHINANTLA,448
PUEBLA,DOMINGO ARENAS,
PUEBLA,ELOXOCHITLAN,222
PUEBLA,EPATLAN,410
PUEBLA,ESPERANZA,1129
PUEBLA,FRANCISCO Z.MENA,668
PUEBLA,GENERAL FELIPE ANGELES,441
PUEBLA,GUADALUPE,221
PUEBLA,GUADALUPE VICTORIA,452
PUEBLA,HERMENEGILDO GALEANA,282
PUEBLA,HUAQUECHULA,1780
PUEBLA,HUATLATLAUCA,739
PUEBLA,HUAUCHINANGO,3688
PUEBLA,HUCHUETLA,681
PUEBLA,HUEHUETLAN EL CHICO,556
PUEBLA,HUEJOTZINGO,3207
PUEBLA,HUEYAPAN,288
PUEBLA,HUEYTAMALCO,529
PUEBLA,HUEYTLALPAN,874
PUEBLA,HUITZILAN DE SERDAN,528
PUEBLA,HUITZILTEPEC,578
PUEBLA,IGNACIO ALLENDE,243
PUEBLA,IXCAMILPA DE GUERRERO,210
PUEBLA,IXCAQUIXTLA,513
PUEBLA,IXTACAMAXTITLAN,1126
PUEBLA,IXTEPEC,
PUEBLA,IZUCAR DE MATAMOROS,3207
PUEBLA,JALPAN,397
PUEBLA,JOLALPAN,685
PUEBLA,JONOTLA,884
PUEBLA,JOPALA,525
PUEBLA,JUAN C.BONILLA,856
PUEBLA,JUAN GALINDO,
PUEBLA,JUAN N.MENDEZ,590
PUEBLA,LAFRAGUA,325
PUEBLA,LIBRES,2795
PUEBLA,"MAGDALENA TLATLAUQUITEPEC, LA",79
PUEBLA,MAZAPILTEPEC DE JUAREZ,331
PUEBLA,MIXTLA,383
PUEBLA,MOLCAXAC,511
PUEBLA,MORELOS CANADA,1325
PUEBLA,NAUPAN,597
PUEBLA,NAUZONTLA,350
PUEBLA,NEALTICAN,347
PUEBLA,NICOLAS BRAVO,173
PUEBLA,NOPALUCAN,1239
PUEBLA,OCOTEPEC,353
PUEBLA,OCOYUCAN,317
PUEBLA,OLINTLA,790
PUEBLA,ORIENTAL,
PUEBLA,PAHUATLAN,1177
PUEBLA,PALMAR DE BRAVO,1182
PUEBLA,PANTEPEC,679
PUEBLA,PETLALCINGO,1044
PUEBLA,PIAXTLA,701
PUEBLA,PUEBLA,62249
PUEBLA,QUECHOLAC,486
PUEBLA,QUIMIXTLAN,303
PUEBLA,RAFAEL LARA GRAJALES,
PUEBLA,RESURRE(??)ION,72
PUEBLA,"REYES, LOS",2082
PUEBLA,SAN ANDRES CHOLULA,1431
PUEBLA,SAN ANTONIO CANADA,159
PUEBLA,S.DIEGO LA MESA TOCHIMILTZINGO,
PUEBLA,SAN FELIPE HUEYOTLIPAN,588
PUEBLA,SAN FELIPE TEOTLALCINGO,1131
PUEBLA,SAN FELIPE TEPATLAN,
PUEBLA,SAN GABRIEL CHILAC,729
PUEBLA,SAN GREGORIO ATZOMPA,720
PUEBLA,SAN JERONIMO CALERAS,622
PUEBLA,SAN JERONIMO TECUANIPAN,727
PUEBLA,SAN JERONIMO XAYACATLAN,510
PUEBLA,SAN JOSE CHIAPA,362
PUEBLA,SAN JOSE MIAHUATLAN,302
PUEBLA,SAN JUAN ATENCO,
PUEBLA,SAN JUAN ATZOMPA,105
PUEBLA,SAN MARTIN TEXMELUCAN,6029
PUEBLA,SAN MARTIN TOTOLTEPEC,67
PUEBLA,SAN MATIAS TLALANCALECA,531
PUEBLA,SAN MIGUEL CANDA,221
PUEBLA,SAN MIGUEL IXITLAN,178
PUEBLA,SAN MIGUEL XOXTLA,
PUEBLA,SAN NICOLAS DE BUENOS AIRES,441
PUEBLA,SAN NICOLAS LOS RANCHOS,589
PUEBLA,SAN PASLO AHICANO,318
PUEBLA,SAN PEDRO CHOLULA,3308
PUEBLA,SAN PEDRO YELOIXTLAHUACAN,169
PUEBLA,SAN SALVADOR EL SECO,662
PUEBLA,SAN SALVADOR EL VERDE,911
PUEBLA,SAN SALVADOR HUIXCOLOTLA,
PUEBLA,SAN SEBASTIAN TLACOTEPEC,348
PUEBLA,SANTA CATARINA TLALTEMPAN,73
PUEBLA,SANTA INES AHUATEMPAN,565
PUEBLA,SANTA ISABEL CHOLULA,489
PUEBLA,SANTIAGO MIAHUATLAN,589
PUEBLA,SANTO DOMINGO HUEHUETLAN,510
PUEBLA,SANTO TOMAS HUEYOTLIPAN,809
PUEBLA,SOLTEPEC,600
PUEBLA,TECALI DE HERRERA,1227
PUEBLA,TECAMACHALCO,1472
PUEBLA,TECOMATLAN,633
PUEBLA,TEHUACAN,6365
PUEBLA,TEHUITZINGO,1158
PUEBLA,TENAMPULCO,487
PUEBLA,TEOPANTLAN,462
PUEBLA,TEOTLALCO,216
PUEBLA,TEPANCO DE LOPEZ,720
PUEBLA,TEPANGO DE RODRIGUEZ,303
PUEBLA,TEPATLAXCO DE HIDALGO,234
PUEBLA,TEPEACA,2282
PUEBLA,TEPEMAXALCO,31
PUEBLA,TEPEOJUMA,415
PUEBLA,TEPETZINTLA,192
PUEBLA,TEPEXCO,280
PUEBLA,TEPEXI DE RODRIGUEZ,1506
PUEBLA,TEPEYAHUALCO,750
PUEBLA,TEPEYAHUALCO CUAUHTEMOC,352
PUEBLA,TETELA DE OCAMPO,2415
PUEBLA,TETELES DE AVILA CASTILLO,270
PUEBLA,TEZIJTLAN,5868
PUEBLA,TIANGUISMANALCO,538
PUEBLA,TILAPA,372
PUEBLA,TLACOTEPEC DE BENITO JUAREZ,1375
PUEBLA,TLACUILOTEPEC,1188
PUEBLA,TLACHICHUCA,622
PUEBLA,TLAHUAPAN,1523
PUEBLA,TLALTENANGO,793
PUEBLA,TLANEPANTLA,409
PUEBLA,TLAOLA,605
PUEBLA,TLAPACOYA,110
PUEBLA,TLAPANALA,488
PUEBLA,TLATLAUQUITEPEC,2055
PUEBLA,TLAXCO,490
PUEBLA,TOCHIMILCO,2110
PUEBLA,TOCHTEPEC,968
PUEBLA,TOTIMEHUACAN,827
PUEBLA,TOTOLTEPEC DE GUERRERO,220
PUEBLA,TULCINGO,416
PUEBLA,TUZAMAPAN DE GALEANA,800
PUEBLA,TZICATLACOYAN,247
PUEBLA,VENUSTIANO CARRANZA,
PUEBLA,VICENTE GUERRERO,392
PUEBLA,XAYACATLAN DE BRAVO,176
PUEBLA,XICOTEPEC,1911
PUEBLA,XICOTLAN,76
PUEBLA,XIUTETELCO,330
PUEBLA,XOCHIAPULCO,748
PUEBLA,XOCHILTEPEC,131
PUEBLA,XOCHITLAN,668
PUEBLA,XOCHITLAN TODOS SANTOS,336
PUEBLA,YAONAHUAC,273
PUEBLA,YEHUALTEPEC,589
PUEBLA,ZACAPALA,582
PUEBLA,ZACAPOAXTLA,2465
PUEBLA,ZACATLAN,6624
PUEBLA,ZAPOTITLAN,577
PUEBLA,ZAPOTITLAN DE MENDEZ,543
PUEBLA,ZARAGOZA,509
PUEBLA,ZAUTLA,1200
PUEBLA,ZIHUATEUTLA,516
PUEBLA,ZINACATEPEC,503
PUEBLA,ZONGOZOTLA,325
PUEBLA,ZOQUIAPAN,86
PUEBLA,ZOQUITLAN,259
NUEVOLEON,ABASOLO,230
NUEVOLEON,AGUALEGUAS,2496
NUEVOLEON,ALDAMAS LOS,1637
NUEVOLEON,ALLENDE,2837
NUEVOLEON,ANAHUAC,
NUEVOLEON,APODACA,2637
NUEVOLEON,ARAMBERRI,1419
NUEVOLEON,BUSTAMANTE,1620
