state,municipality,pop5_9
PUEBLA,ACAJETE,2836
PUEBLA,ACATENO,988
PUEBLA,ACATLAN,3182
PUEBLA,ACATZINGO,2058
PUEBLA,ACTEOPAN,277
PUEBLA,AHUACATLAN,1496
PUEBLA,AHUATLAN,587
PUEBLA,AHUAZOTEPEC,927
PUEBLA,AHUEHUETITLA,426
PUEBLA,AJALPAN,2408
PUEBLA,ALBINO ZERTUCHE,164
PUEBLA,ALJOJUCA,782
PUEBLA,ALTEPEXI,692
PUEBLA,AMIXTLAN,785
PUEBLA,AMOZOC,2280
PUEBLA,AQUIXTLA,872
PUEBLA,ATEMPAN,967
PUEBLA,ATEXCAL,289
PUEBLA,ATLIXCO,9172
PUEBLA,ATOYATEMPAN,362
PUEBLA,ATZALA,91
PUEBLA,ATZITZIHUACAN,854
PUEBLA,ATZITZINTLA,650
PUEBLA,AXUTLA,381
PUEBLA,AYOTOXCO DE GUERRERO,427
PUEBLA,CALPAN,1163
PUEBLA,CALTEPEC,726
PUEBLA,CAMOCUAUTLA,212
PUEBLA,CAXHUACAN,406
PUEBLA,COATEPEC,204
PUEBLA,COATZINGO,539
PUEBLA,COHETZALA,220
PUEBLA,COHUECAN,288
PUEBLA,COHONANGO,1424
PUEBLA,COXCATLAN,942
PUEBLA,COYOMEAPAN,1078
PUEBLA,COYOTEPEC,559
PUEBLA,CUAPIAXTLA DE MADERO,361
PUEBLA,CUAUTEMPAN,701
PUEBLA,CUAUTINCHAN,418
PUEBLA,CUAUTLANCINGO,2010
PUEBLA,CUAYUCA,727
PUEBLA,CUETZALAN DEL PROGRESO,3439
PUEBLA,CUYOACO,1411
PUEBLA,CHALOHICOMULA,3330
PUEBLA,CHAPULCO,284
PUEBLA,CHIAUTLA,2187
PUEBLA,CHIAUTZINGO,1139
PUEBLA,CHICONCUAUTLA,1267
PUEBLA,CHICHIQUILA,901
PUEBLA,CHIETLA,3334
PUEBLA,CHIGMECATITLAN,228
PUEBLA,CHIGNAHUAPAN,4329
PUEBLA,CHIGNAUTLA,909
PUEBLA,CHILA,675
PUEBLA,CHILA DE LA SAL,269
PUEBLA,CHILA HONEY,768
PUEBLA,CHILCHOTLA,951
PUEBLA,CHINANTLA,560
PUEBLA,DOMINGO ARENAS,346
PUEBLA,ELOXOCHITLAN,686
PUEBLA,EPATLAN,427
PUEBLA,ESPERANZA,1173
PUEBLA,FRANCISCO Z. MENA,1916
PUEBLA,GENERAL FELIPE ANGELES,988
PUEBLA,GUAOALUPE,796
PUEBLA,GUADALUPE VICTORIA,1316
PUEBLA,HERMENEGILDO GALEANA,625
PUEBLA,HUAQUECHULA,2028
PUEBLA,HUATLATLAUCA,1095
PUEBLA,HUAUCHINANGO,5040
PUEBLA,HUEHUETLA,1640
PUEBLA,HUEHUETLA EL CHICO,887
PUEBLA,HUEJOTZINGO,2707
PUEBLA,HUEYAPAN,497
PUEBLA,HUEYTAMALCO,1555
PUEBLA,HUEYTLALPAN,525
PUEBLA,HUITZILAN DE SERDAN,850
PUEBLA,HUITZILTEPEC,266
PUEBLA,IGNACIO ALLENDE,357
PUEBLA,IXCAMILPA DE GUERRERO,513
PUEBLA,IXCAQUIXTLA,772
PUEBLA,IXTACAMAXTITLAN,2844
PUEBLA,IXTEPEC,579
PUEBLA,IZUCAR DE MATAMOROS,5395
PUEBLA,JALPAN,911
PUEBLA,JOLALPAN,996
PUEBLA,JONOTLA,629
PUEBLA,JOPALA,1234
PUEBLA,JUAN C. BONILLA,782
PUEBLA,JUAN GALINDO,691
PUEBLA,JUAN N. MENDEZ,706
PUEBLA,LAFRAGUA,1113
PUEBLA,LIBRES,1992
PUEBLA,"MAGDALENA TLATLAUQUITEPEC, LA",28
PUEBLA,MAZAPILTEPEC DE JUAREZ,251
PUEBLA,MIXTLA,190
PUEBLA,MOLCAXAC,549
PUEBLA,MORELOS CANADA,1566
PUEBLA,NAUPAN,912
PUEBLA,NAUZONTLA,454
PUEBLA,NEALTICAN,489
PUEBLA,NICOLAS BRAVO,473
PUEBLA,NOPALUCAN,1229
PUEBLA,OCOTEPEC,559
PUEBLA,OCOYUCAN,1136
PUEBLA,OLINTLA,1436
PUEBLA,ORIENTAL,1057
PUEBLA,PAHUATLAN,1793
PUEBLA,PALMAR DE BRAVO,2214
PUEBLA,PANTEPEC,1599
PUEBLA,PETLALCINGO,1152
PUEBLA,PIAXTLA,1050
PUEBLA,PUEBLA,41286
PUEBLA,QUECHOLAC,2016
PUEBLA,QUIMIXTLAN,1237
PUEBLA,RAFAEL LARA GRAJALES,759
PUEBLA,RESURRECCION,247
PUEBLA,"REYES, LOS",1122
PUEBLA,SAN ANDRES CHOLULA,2267
PUEBLA,SAN ANTONIO CANADA,324
PUEBLA,S.DIEGO LA MESA TOCHIMILTZINGO,235
PUEBLA,SAN FELIPE HUEYOTLIPAN,855
PUEBLA,SAN FELIPE TEOTLALCINGO,617
PUEBLA,SAN FELIPE TEPATLAN,514
PUEBLA,SAN GABRIEL CHILAC,1066
PUEBLA,SAN GREGORIO ATZOMPA,430
PUEBLA,SAN DERONIMO CALERAS,799
PUEBLA,SAN JERONIMO TECUANIPAN,379
PUEBLA,SAN JERONIMO XAYACATLA,534
PUEBLA,SAN JOSE CHIAPA,525
PUEBLA,SAN JOSE MIAHUATLAN,662
PUEBLA,SAN JUAN ATENCO,624
PUEBLA,SAN JUAN ATZOMPA,83
PUEBLA,SAN MARTIN TEXMELUCAN,5833
PUEBLA,SAN MARTIN TOTOLTEPEC,62
PUEBLA,SAN MARTIN TEXMELUCAN,930
PUEBLA,SAN MIGUEL CANOA,726
PUEBLA,SAN MIGUEL IXITLAN,148
PUEBLA,SAN MIGUEL XOXTLA,293
PUEBLA,SAN NICOLAS DE BUENOS AIRES,637
PUEBLA,SAN NICOLAS LOS RANCHOS,974
PUEBLA,SAN PABLO AMICANO,439
PUEBLA,SAN PEDRO CHOLULA,5039
PUEBLA,SAN PEDRO YELOIXTLAHUACAN,445
PUEBLA,SAN SALVADOR EL SECO,1615
PUEBLA,SAN SALVADOR EL VERDE,1066
PUEBLA,SAN SALVADOR HUIXCOLOTLA,519
PUEBLA,SAN SEBASTIAN TLACOTEPEC,1211
PUEBLA,SANTA CATARINA TLALTEMPAN,214
PUEBLA,SANTA INES AHUATEMPAN,742
PUEBLA,SANTA ISABEL CHOLULA,493
PUEBLA,SANTIAGO MIAHUATLAN,582
PUEBLA,SANTO DOMINGO HUEHUETLAN,667
PUEBLA,SANTO TOMAS HUEYOTLIPAN,536
PUEBLA,SOLTEPEC,972
PUEBLA,TECALI DE HERRERA,1026
PUEBLA,TECAMACHALCO,2776
PUEBLA,TECOMATLAN,768
PUEBLA,TEHUACAN,6772
PUEBLA,TEHUITZINGO,1553
PUEBLA,TENAMPULCO,791
PUEBLA,TEOPANTLAN,446
PUEBLA,TEOTLALCO,397
PUEBLA,TEPANCO DE LOPEZ,948
PUEBLA,TEPANGO DE RODRIGUEZ,427
PUEBLA,TEPATLAXCO DE HIDALGO,1055
PUEBLA,TEPEACA,3315
PUEBLA,TEPEMAXALCO,79
PUEBLA,TEPEOJUMA,653
PUEBLA,TEPETZINTLA,870
PUEBLA,TEPEXCO,490
PUEBLA,TEPEXI DE RODRIGUEZ,1813
PUEBLA,TEPEYAHUALCO,1158
PUEBLA,TEPEYAHUALCO CUAUHTEMOC,145
PUEBLA,TETELA DE OCAMPO,2544
PUEBLA,TETELES DE AVILA CASTILLO,171
PUEBLA,TEZIUTLAN,4658
PUEBLA,TIANGUISMANALCO,1024
PUEBLA,TILAPA,649
PUEBLA,TLACOTEPEC DE BENITO JUAREZ,2416
PUEBLA,TLACUILOTEPEC,2023
PUEBLA,TLACHICHUCA,2189
PUEBLA,TLAHUAPAN,1691
PUEBLA,TLALTENANGO,395
PUEBLA,TLANEPANTLA,255
PUEBLA,TLAOLA,1662
PUEBLA,TLAPACOYA,750
PUEBLA,TLAPANALA,547
PUEBLA,TLATLAUQUITEPEC,4137
PUEBLA,TLAXCO,771
PUEBLA,TOCHIMILCO,1548
PUEBLA,TOCHTEPEC,966
PUEBLA,TOTIMEHUACAN,2840
PUEBLA,TOTOLTEPEC DE GUERRERO,228
PUEBLA,TULCINGO,956
PUEBLA,TUZAMAPAN DE GALEANA,350
PUEBLA,TZICATLACOYAN,451
PUEBLA,VENUSTIANO CARRANZA,1482
PUEBLA,VICENTE GUERRERC,1395
PUEBLA,XAYACATLAN DE BRAVO,346
PUEBLA,XICOTEPEC,3846
PUEBLA,XICOTLAN,136
PUEBLA,XIUTETELCO,1402
PUEBLA,XOCHIAPULCO,523
PUEBLA,XOCHILTEPEC,270
PUEBLA,XOCHITLAN,1098
PUEBLA,XOCHITLAN TOOOS SANTOS,560
PUEBLA,YAONAHUAC,311
PUEBLA,YEHUALTEPEC,1199
PUEBLA,ZACAPALA,606
PUEBLA,ZACAPOAXTLA,2990
PUEBLA,ZACATLAN,5319
PUEBLA,ZAPOTITLAN,722
PUEBLA,ZAPOTITLAN DE MENDEZ,423
PUEBLA,ZARAGOZA,687
PUEBLA,ZAUTLA,2163
PUEBLA,ZIHUATEUTLA,915
PUEBLA,ZINACATEPEC,608
PUEBLA,ZONGOZOTLA,151
PUEBLA,ZOQUIAPAN,356
PUEBLA,ZOQUITLAN,1613
NUEVO LEON,ABASOLO,32
NUEVO LEON,AGUALEGUAS,634
NUEVO LEON,"ALLAMAS, LOS",573
NUEVO LEON,ALLENDE,1353
NUEVO LEON,ANAHUAC,2780
NUEVO LEON,APODACA,883
NUEVO LEON,ARAMBERRI,1981
